Lecture Name,Week Number,Link
Introduction to the course,1,https://hello.iitk.ac.in/ta201a21/#/lecture/8
Casting (Instructional video for TA201A students),1,https://hello.iitk.ac.in/ta201a21/#/lecture/9
Casting Handout,1,https://hello.iitk.ac.in/ta201a21/#/lecture/32
Welding (Instructional video for TA201A students),1,https://hello.iitk.ac.in/ta201a21/#/lecture/11
Welding Handout,1,https://hello.iitk.ac.in/ta201a21/#/lecture/33
Wax Casting Practice Handout,1,https://hello.iitk.ac.in/ta201a21/#/lecture/13
Adhesive Joining Practice Handout,1,https://hello.iitk.ac.in/ta201a21/#/lecture/14
Introduction to Manufacturing,2,https://hello.iitk.ac.in/ta201a21/#/lecture/31
Discussion Session (Zoom Recording),2,https://hello.iitk.ac.in/ta201a21/#/lecture/25
Sheet-Metal Working (Instructional video for TA2...,2,https://hello.iitk.ac.in/ta201a21/#/lecture/16
Sheet Metal Forming Handout,2,https://hello.iitk.ac.in/ta201a21/#/lecture/69
Forging (Instructional video from Youtube),2,https://hello.iitk.ac.in/ta201a21/#/lecture/17
Forging Handout,2,https://hello.iitk.ac.in/ta201a21/#/lecture/70
Fabrication using rod and sheet,2,https://hello.iitk.ac.in/ta201a21/#/lecture/20
Engineering Materials,3,https://hello.iitk.ac.in/ta201a21/#/lecture/21
Discussion Session (Zoom Recording),3,https://hello.iitk.ac.in/ta201a21/#/lecture/92
Brazing (from Youtube),3,https://hello.iitk.ac.in/ta201a21/#/lecture/22
Brazing and Soldering Handout,3,https://hello.iitk.ac.in/ta201a21/#/lecture/71
Mechanical Fastening: Riveting and Hinge,3,https://hello.iitk.ac.in/ta201a21/#/lecture/72
"Engineering Materials: Metals, Ceramics, Polymers",4,https://hello.iitk.ac.in/ta201a21/#/lecture/79
